id,quesm2,ativcolm2,forum5,forum6,forum7,ativcolm2r,quesm2r,forum8,forum2r,aprovado,quesm1,quesm1r,forum1,forum2,forum3,forum4,ativcolm1,ativcolm1r,forum1r
2342,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2343,1,1,1,1,0,0,1,1,0,Sim,1,0,1,1,1,1,1,0,0
2346,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,1,1,0,0,0
2355,1,1,1,1,1,1,1,1,0,Sim,0,1,1,0,0,0,0,1,0
2378,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
2392,1,1,0,1,1,1,1,1,1,Não,1,0,1,1,1,1,1,0,0
2407,1,1,1,1,1,0,0,1,0,Não,1,1,1,1,1,1,1,1,0
2414,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,0,0,0
2416,1,1,1,0,1,0,0,0,1,Não,0,1,1,1,1,1,0,1,1
2418,0,0,0,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
2423,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,0,0,1,0,0
2433,1,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
2444,1,0,1,1,1,0,1,1,0,Sim,1,1,1,1,1,1,0,0,0
2448,0,1,0,0,0,0,0,0,0,Não,1,0,1,1,1,0,1,1,0
2452,1,0,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2465,1,1,1,0,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
2472,1,1,0,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
2480,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
2481,1,0,0,0,0,1,1,0,1,Não,0,1,0,0,0,0,0,0,0
2495,0,0,0,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
2499,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2503,1,0,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,0,0,0
2511,0,0,1,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
2522,1,0,1,1,1,1,1,1,1,Sim,1,1,1,1,1,1,1,0,0
2529,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
2561,1,1,0,0,0,0,0,0,1,Não,1,0,1,1,1,1,1,0,0
2562,0,0,1,1,1,0,0,0,0,Não,0,0,1,1,1,1,1,0,0
2568,1,1,0,0,0,1,1,0,1,Não,1,0,1,1,1,1,1,0,0
2570,1,1,1,1,1,0,0,1,1,Sim,0,1,0,0,0,0,1,1,1
2579,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2581,0,0,0,0,0,0,0,0,0,Não,1,0,1,1,1,0,0,0,0
2615,0,0,1,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
2618,1,1,1,1,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
2619,1,1,1,1,1,0,1,1,0,Sim,1,0,1,1,1,1,1,0,0
2622,1,1,1,0,1,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
2623,1,1,0,0,0,1,1,0,1,Sim,0,1,0,0,0,0,0,0,1
2629,1,0,0,1,1,0,0,0,0,Sim,1,0,1,1,1,1,1,0,0
2632,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,0,1,0,0
2655,1,1,1,1,0,0,0,1,0,Não,0,1,1,1,1,1,0,0,1
2666,0,1,0,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
2671,1,0,1,1,1,0,0,1,0,Não,1,1,1,1,1,0,0,0,1
2691,1,1,1,1,1,0,0,1,0,Não,0,1,1,1,1,1,1,1,1
2698,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
2730,0,0,1,1,0,0,0,1,0,Não,1,1,1,1,1,0,0,0,1
2740,1,1,1,0,1,0,0,1,0,Sim,1,1,1,1,1,1,1,0,0
2742,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
2746,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2757,1,1,1,1,1,0,0,1,0,Sim,1,1,1,1,1,1,1,0,0
2782,0,0,1,0,0,0,0,0,0,Não,1,0,1,1,1,1,0,0,0
2795,1,1,1,1,0,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2796,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
2827,1,1,0,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
2840,1,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
2842,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2849,0,0,0,0,0,0,0,0,0,Não,1,0,1,1,1,1,0,0,0
2857,1,1,1,0,1,0,0,0,0,Sim,1,0,1,1,1,1,1,1,0
2859,0,0,1,1,0,0,1,1,1,Não,1,0,1,1,1,1,0,1,0
2872,1,0,1,1,1,0,0,1,0,Não,1,0,1,1,0,0,1,0,0
2903,0,0,0,0,0,0,0,0,0,Não,0,0,1,0,0,0,0,0,0
2914,0,0,0,0,1,0,1,0,0,Não,0,0,0,0,0,0,0,0,0
2921,1,0,0,0,1,0,0,0,0,Sim,1,0,1,1,1,1,1,0,0
2928,0,0,1,0,0,0,0,0,0,Não,1,0,1,1,1,1,0,0,0
2930,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
2936,1,1,1,0,0,1,1,0,1,Não,1,0,1,1,1,1,1,0,0
2944,1,1,1,1,1,0,1,1,0,Não,1,1,1,1,0,1,1,1,1
2947,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2955,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,1,1,1,0,0
3001,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
3018,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,1,0
3057,0,1,0,1,1,0,0,0,1,Sim,1,1,1,1,1,1,1,0,1
3058,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
3061,1,1,1,1,0,0,0,0,0,Sim,1,0,1,1,1,1,1,0,0
3068,0,1,0,0,0,0,0,0,0,Não,0,0,1,1,0,0,0,0,0
3078,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,0,0,0,0,0
3084,1,1,1,1,1,0,0,0,0,Sim,1,1,1,1,1,1,1,0,0
3101,0,0,0,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
3105,1,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
3106,0,0,0,0,0,0,0,0,0,Não,1,0,1,1,1,0,1,0,0
3110,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
3124,1,1,1,1,1,1,0,0,0,Sim,0,1,1,1,1,0,0,0,1
3131,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,1,0,0,0,0
3140,1,1,0,0,0,0,1,0,0,Sim,0,1,1,1,1,1,0,0,0
3148,1,1,1,0,0,0,1,0,0,Sim,1,1,1,1,1,1,1,0,0
3158,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
3174,1,1,1,1,1,0,0,1,0,Sim,1,1,1,1,1,1,0,1,1
3216,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
3222,0,0,0,0,0,0,0,0,0,Não,1,0,1,1,0,0,1,0,0
3246,0,0,1,0,1,0,0,0,0,Não,1,1,1,1,1,0,1,0,0
3248,1,1,0,0,1,1,1,0,1,Sim,0,1,1,1,1,1,1,1,1
3253,1,1,1,1,1,1,1,0,1,Não,0,1,1,1,1,1,1,0,1
3258,1,0,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
3261,1,1,1,0,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
3277,1,0,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,0,0,0
3279,1,1,1,1,0,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
3280,0,1,1,0,1,1,1,1,0,Sim,1,1,1,1,1,1,1,0,0
3313,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
3364,1,0,1,0,1,0,1,1,0,Sim,0,1,1,1,1,1,1,1,0
3407,1,0,1,0,0,0,0,0,0,Não,0,0,1,1,1,1,0,0,0
3425,1,0,0,1,1,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
3432,1,0,1,1,1,0,1,1,1,Sim,0,1,1,1,1,0,0,0,0
3460,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
3501,0,0,0,0,0,0,0,0,0,Não,0,0,1,0,0,0,0,0,0
3528,0,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
3585,0,0,1,0,0,0,0,0,0,Não,0,0,1,1,1,1,1,0,0
3604,1,0,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
3610,1,0,1,1,0,0,1,1,1,Não,1,1,1,1,1,1,0,1,1
3616,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,0,0,0,0,0
3641,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
3645,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
3657,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,1,0,0
3663,1,0,0,0,0,0,0,0,0,Não,1,1,1,1,1,0,0,0,0
3664,1,1,1,1,1,0,0,1,0,Não,1,1,1,1,1,1,1,0,0
3666,1,0,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
3667,1,1,1,0,0,0,0,0,0,Não,0,0,1,1,1,1,1,0,0
3669,1,1,1,1,1,1,0,1,0,Sim,1,0,0,0,1,1,1,0,1
3673,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
3676,1,1,1,1,0,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
3679,1,1,1,0,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
3690,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
3706,1,0,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
